symbol,multiplier,period,average_success_percentage,average_loss_percentage,percentage,Market Cap cr
AEGISLOG.NS,1.5,11,5.252401830153726,-3.049649337777302,4.035293884277344,29355.884544
VENKEYS.NS,2.0,21,13.306442515857782,-4.449678378215902,16225.39770728302,3377.4301184
TRITURBINE.NS,3.0,19,7.2600560700299495,-4.283405225274313,205.46467670440674,24240.0837632
TITAGARH.NS,2.0,10,19.817068201491697,-5.445487258733845,45929.90559498215,19549.913088
SOLARA.NS,1.5,20,14.899730636736606,-4.167480691813139,920.9593157348634,3103.4560512
HARDWYN.NS,1.5,14,14.185391276542532,-4.4086103342360765,207.23680650043485,1115.372544
BAJAJCON.NS,1.5,19,5.870606693749993,-2.5457771947815924,70.12344033050537,3853.2448256
NIITLTD.NS,1.5,18,11.167989480519216,-4.5903563284446625,5056.535314683914,2342.493184
SHRIRAMPPS.NS,2.0,15,12.758259967711872,-4.150582634012557,135.46468408966064,2398.1156352
ETHOSLTD.NS,3.0,11,12.622919315691924,-6.053397762761282,117.93337469482421,8219.0491648
SADBHAV.NS,1.5,7,9.248872308252055,-3.223351342369946,9812.121730521203,573.9050496
RSSOFTWARE.NS,3.0,21,18.960623739849485,-7.854667745595605,1523.8270344769955,785.9027456
KAYNES.NS,3.0,19,17.787557892860484,-3.655935186873935,188.68875915527343,30976.425984
INDOAMIN.NS,1.5,15,13.581464989431671,-6.518351301716248,169.73305445098876,1349.28384
ASAHIINDIA.NS,1.5,12,7.1556122361530115,-3.170279504212937,1165.560007841587,15958.8581376
MHRIL.NS,3.0,12,10.333962966888265,-3.415343727079793,152.69881692504882,8624.6588416
CENTUM.NS,3.0,10,11.74243112045398,-5.214862766147237,289.693029920578,2445.620224
AURUM.NS,2.0,17,35.955082486068534,-6.7494744404860105,83.36744510650634,1406.2107648
JKCEMENT.NS,1.5,7,9.340114086928581,-2.878936709294076,20521.569964447022,35912.712192
GENESYS.NS,1.5,7,14.523708701562866,-5.181248262691917,8974.424275413512,3285.7966592
UNIENTER.NS,1.5,18,8.819034009843215,-3.4375107074502034,214.00850257301332,1329.0256384
STEELCITY.NS,2.5,14,9.604812291849603,-4.514116240952328,73.88963441467286,158.5339136
MAHESHWARI.NS,2.5,8,10.075077992711261,-4.147675582591892,257.47207081604,208.0091136
GANESHBE.NS,2.5,18,7.430160978342573,-3.918662912903315,66.62974275970458,1227.131392
SAGARDEEP.NS,1.5,21,23.860841718993647,-3.7367298239665216,11581.771104118347,50.0634688
